Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Beruf;Partei_KurzBez;Partei_Bez;Gewählt_Stimmenart;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Gewählt_Erststimmenanteil;Gewählt_Liste_Platz;Kandidierte-auch_Land;Kandidierte-auch_Wahlkreis_Nr;Kandidierte-auch_Liste_Platz;Wiedergewählt
Dr.;von;Abercron;Michael;m;1952;Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer;CDU;Christlich Demokratische Union Deutschlands;E;SH;7;Pinneberg;39,7;;SH;;10;
;;Achelwilm;Doris Maria;w;1976;Angestellte;DIE LINKE;DIE LINKE;Z;HB;;;;1;;;;
;;Aggelidis;Grigorios;m;1965;Vermögensverwalter;FDP;Freie Demokratische Partei;Z;NI;;;;3;NI;43;;
;;Akbulut;Gökay;w;1982;Sozialwissenschaftlerin;DIE LINKE;DIE LINKE;Z;BW;;;;3;BW;275;;
;;Albani;Stephan;m;1968;MdB / Geschäftsführer;CDU;Christlich Demokratische Union Deutschlands;Z;NI;;;;6;NI;27;;X
;;Alt;Renata;w;1965;Chemieingenieurin;FDP;Freie Demokratische Partei;Z;BW;;;;7;BW;262;;
;;Altenkamp;Norbert Maria;m;1972;Bürgermeister;CDU;Christlich Demokratische Union Deutschlands;E;HE;181;Main-Taunus;41,9;;HE;;21;
;;Altmaier;Peter;m;1958;Jurist;CDU;Christlich Demokratische Union Deutschlands;E;SL;297;Saarlouis;38;;SL;;1;X
;;Amthor;Philipp;m;1992;Jurist;CDU;Christlich Demokratische Union Deutschlands;E;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;31,2;;MV;;6;
;;Amtsberg;Luise;w;1984;MdB / Islamwissenschaftlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;SH;;;;1;SH;5;;X
;;Andreae;Kerstin;w;1968;Dipl.-Volkswirtin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;1;BW;281;;X
;;Annen;Niels;m;1973;Historiker;SPD;Sozialdemokratische Partei Deutschlands;E;HH;20;Hamburg-Eimsbüttel;31,6;;HH;;4;X
;;Arndt-Brauer;Ingrid;w;1961;MdB / Dipl.-Kauffrau / Dipl.-Soziologin;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;14;NW;124;;X
;;Aschenberg-Dugnus;Christine;w;1959;Rechtsanwältin;FDP;Freie Demokratische Partei;Z;SH;;;;3;SH;4;;
;;Auernhammer;Artur;m;1963;MdB / Landwirtschaftsmeister;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;241;Ansbach;44,3;;BY;;38;X
;;Aumer;Peter;m;1976;Dipl.-Betriebswirt (FH);CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;233;Regensburg;40,1;;;;;
;;Badum;Lisa Hildegard;w;1983;Politikwissenschaftlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;11;BY;236;;
;;Baehrens;Heike;w;1955;MdB / Diakonin;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;13;BW;263;;X
;;Baerbock;Annalena;w;1980;Völkerrechtlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BB;;;;1;BB;61;;X
;;Bahr;Ulrike;w;1964;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;4;BY;252;;X
;;Bär;Dorothee;w;1978;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;248;Bad Kissingen;51,1;;BY;;3;X
;;Bareiß;Thomas;m;1975;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;295;Zollernalb – Sigmaringen;45;;;;;X
Dr.;;Barley;Katarina;w;1968;MdB / Juristin;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;3;RP;203;;X
;;Barnett;Doris;w;1953;MdB / Juristin;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;5;RP;207;;X
;;Barrientos Krauss;Simone;w;1963;Verlegerin;DIE LINKE;DIE LINKE;Z;BY;;;;5;BY;251;;
;;Barthle;Norbert;m;1952;MdB / parl. Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;E;BW;269;Backnang – Schwäbisch Gmünd;41,2;;;;;X
Dr.;;Bartke;Matthias;m;1959;Jurist;SPD;Sozialdemokratische Partei Deutschlands;E;HH;19;Hamburg-Altona;28,9;;HH;;6;X
;;Bartol;Sören;m;1974;Dipl.-Politologe;SPD;Sozialdemokratische Partei Deutschlands;E;HE;171;Marburg;35,7;;HE;;5;X
Dr.;;Bartsch;Dietmar Gerhard;m;1958;MdB;DIE LINKE;DIE LINKE;Z;MV;;;;1;MV;14;;X
;;Bas;Bärbel;w;1968;MdB;SPD;Sozialdemokratische Partei Deutschlands;E;NW;115;Duisburg I;38,3;;NW;;32;X
;;Bauer;Nicole;w;1987;Dipl.-Wirtschaftsingenieurin (FH);FDP;Freie Demokratische Partei;Z;BY;;;;11;BY;228;;
Dr.;;Baumann;Bernd;m;1958;Kaufmann;AfD;Alternative für Deutschland;Z;HH;;;;1;HH;19;;
;;Bause;Margarete;w;1959;MdL;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;9;BY;218;;
Dr.;;Bayaz;Danyal;m;1983;Unternehmensberater;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;12;BW;278;;
;;Bayram;Canan;w;1966;Rechtsanwältin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;E;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;26,3;;;;;
;;Beeck;Jens;m;1969;Rechtsanwalt;FDP;Freie Demokratische Partei;Z;NI;;;;2;NI;31;;
;in der;Beek;Olaf;m;1967;selbst. Unternehmer;FDP;Freie Demokratische Partei;Z;NW;;;;19;NW;140;;
;;Beer;Nicola Gertrud Ruth;w;1970;Rechtsanwältin;FDP;Freie Demokratische Partei;Z;HE;;;;1;HE;182;;
;;Beermann;Maik;m;1981;MdB / Sparkassenbetriebswirt;CDU;Christlich Demokratische Union Deutschlands;E;NI;40;Nienburg II – Schaumburg;40,6;;NI;;26;X
;;Behrens;Manfred;m;1956;MdB;CDU;Christlich Demokratische Union Deutschlands;E;ST;67;Börde – Jerichower Land;37,8;;ST;;5;X
;;Bellmann;Veronika;w;1960;MdB;CDU;Christlich Demokratische Union Deutschlands;E;SN;161;Mittelsachsen;32,4;;SN;;7;X
;;Benning;Sybille;w;1961;Dipl.-Ing. Landschaftsplanung;CDU;Christlich Demokratische Union Deutschlands;E;NW;129;Münster;37,2;;NW;;28;X
Dr.;;Berghegger;André;m;1972;MdB / Jurist;CDU;Christlich Demokratische Union Deutschlands;E;NI;38;Osnabrück-Land;45,6;;NI;;22;X
;;Bernhard;Marc;m;1972;Rechtsanwalt / Geschäftsführer;AfD;Alternative für Deutschland;Z;BW;;;;9;BW;271;;
;;Bernstein;Melanie;w;1976;Kulturwissenschaftlerin;CDU;Christlich Demokratische Union Deutschlands;E;SH;6;Plön – Neumünster;40,7;;SH;;8;
;;Bernstiel;Christoph;m;1984;Kommunikationsberater;CDU;Christlich Demokratische Union Deutschlands;E;ST;72;Halle;27,1;;ST;;7;
;;Beutin;Lorenz Gösta;m;1978;Historiker;DIE LINKE;DIE LINKE;Z;SH;;;;2;SH;6;;
;;Beyer;Peter;m;1970;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NW;105;Mettmann II;39,3;;NW;;50;X
;;Biadacz;Marc;m;1979;ltd. Angestellter in der Digitalbranche;CDU;Christlich Demokratische Union Deutschlands;E;BW;260;Böblingen;38,8;;;;;
;Marschall von;Bieberstein;Matern;m;1962;MdB / Verleger;CDU;Christlich Demokratische Union Deutschlands;E;BW;281;Freiburg;28;;;;;X
;;Bilger;Steffen;m;1979;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;BW;265;Ludwigsburg;38,3;;BW;;6;X
;;Binding;Lothar;m;1950;MdB / Dipl.-Mathematiker;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;4;BW;274;;X
;;Birkwald;Matthias W.;m;1961;Dipl.-Sozialwissenschaftler;DIE LINKE;DIE LINKE;Z;NW;;;;2;NW;94;;X
;;Bleck;Andreas;m;1988;Student;AfD;Alternative für Deutschland;Z;RP;;;;3;RP;197;;
;;Bleser;Peter;m;1952;MdB / Landwirtschaftsmeister;CDU;Christlich Demokratische Union Deutschlands;E;RP;200;Mosel/Rhein-Hunsrück;44,1;;RP;;2;X
;;Bluhm;Heidrun;w;1958;MdB;DIE LINKE;DIE LINKE;Z;MV;;;;2;MV;17;;X
;;Boehringer;Peter Christian Pascal;m;1969;Kaufmann / Wirtschaftspublizist;AfD;Alternative für Deutschland;Z;BY;;;;2;BY;232;;
;;Brackmann;Norbert;m;1954;Jurist;CDU;Christlich Demokratische Union Deutschlands;E;SH;10;Herzogtum Lauenburg – Stormarn-Süd;39,5;;SH;;2;X
;;Brand;Michael;m;1973;MdB;CDU;Christlich Demokratische Union Deutschlands;E;HE;174;Fulda;45,2;;HE;;11;X
Dr.;;Brandenburg;Jens;m;1986;Unternehmensberater;FDP;Freie Demokratische Partei;Z;BW;;;;9;BW;277;;
;;Brandenburg;Mario;m;1983;Wirtschaftsinformatiker;FDP;Freie Demokratische Partei;Z;RP;;;;3;RP;211;;
Dr.;;Brandl;Reinhard;m;1977;MdB / Dipl.-Wirtschaftsingenieur;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;216;Ingolstadt;49,5;;;;;X
;;Brandner;Stephan;m;1966;Rechtsanwalt;AfD;Alternative für Deutschland;Z;TH;;;;1;TH;193;;
;;Brandt;Michel;m;1990;Schauspieler;DIE LINKE;DIE LINKE;Z;BW;;;;6;BW;271;;
Dr.;;Brantner;Franziska;w;1979;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;9;BW;274;;X
Dr.;;Brauksiepe;Ralf;m;1967;parl. Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;Z;NW;;;;9;NW;139;;X
Prof. Dr.;;Braun;Helge Reinhold;m;1972;Arzt;CDU;Christlich Demokratische Union Deutschlands;E;HE;173;Gießen;35,1;;HE;;1;X
;;Braun;Jürgen;m;1961;Kommunikationsberater;AfD;Alternative für Deutschland;Z;BW;;;;6;BW;264;;
;;Breher;Silvia;w;1973;Geschäftsführerin / Rechtsanwältin;CDU;Christlich Demokratische Union Deutschlands;E;NI;32;Cloppenburg – Vechta;57,7;;NI;;25;
;;Brehm;Sebastian;m;1971;Steuerberater / Dipl.-Kaufmann;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;244;Nürnberg-Nord;31,3;;BY;;22;
;;Brehmer;Heike;w;1962;MdB / Dipl.-Betriebswirtin (FH);CDU;Christlich Demokratische Union Deutschlands;E;ST;68;Harz;36,4;;ST;;1;X
;;Breymaier;Leni;w;1960;Einzelhandelskauffrau;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;1;BW;270;;
;;Brinkhaus;Ralph;m;1968;MdB / Steuerberater;CDU;Christlich Demokratische Union Deutschlands;E;NW;131;Gütersloh I;46,6;;NW;;7;X
Dr.;;Brodesser;Carsten;m;1967;ltd. Angestellter / Dipl.-Volkswirt;CDU;Christlich Demokratische Union Deutschlands;E;NW;99;Oberbergischer Kreis;43,7;;NW;;36;
;;Brugger;Agnes;w;1985;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;5;BW;294;;X
Dr.;;Brunner;Karl Heinz;m;1953;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;15;BY;255;;X
Dr.;;Buchholz;Bernd;m;1961;Rechtsanwalt;FDP;Freie Demokratische Partei;Z;SH;;;;2;SH;10;;
;;Buchholz;Christine;w;1971;Erziehungswissenschaftlerin;DIE LINKE;DIE LINKE;Z;HE;;;;3;HE;185;;X
;;Budde;Katrin;w;1965;MdL / Dipl.-Ing. für Arbeitsgestaltung;SPD;Sozialdemokratische Partei Deutschlands;Z;ST;;;;2;ST;74;;
;;Bühl;Marcus;m;1977;Dipl.-Informatiker (M. Sc.) (FH);AfD;Alternative für Deutschland;Z;TH;;;;3;;;;
;;Bull-Bischoff;Birke;w;1963;Erziehungswissenschaftlerin / Soziologin;DIE LINKE;DIE LINKE;Z;ST;;;;3;ST;73;;
;;Bülow;Marco;m;1971;freier Journalist / Publizist;SPD;Sozialdemokratische Partei Deutschlands;E;NW;142;Dortmund I;38,8;;NW;;56;X
;;Burkert;Martin;m;1964;MdB / Gewerkschaftssekretär;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;3;BY;245;;X
Dr.;;Buschmann;Marco;m;1977;Rechtsanwalt;FDP;Freie Demokratische Partei;Z;NW;;;;4;NW;123;;
;;Busen;Karlheinz;m;1951;Dipl.-Ingenieur;FDP;Freie Demokratische Partei;Z;NW;;;;10;NW;126;;
;;Büttner;Matthias;m;1990;Informatiker;AfD;Alternative für Deutschland;Z;ST;;;;3;ST;66;;
;;Bystron;Petr;m;1972;Unternehmer;AfD;Alternative für Deutschland;Z;BY;;;;4;BY;217;;
Dr.;;Castellucci;Lars;m;1974;MdB / Hochschulprofessor;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;12;BW;277;;X
;;Cezanne;Jörg;m;1958;Geschäftsführer;DIE LINKE;DIE LINKE;Z;HE;;;;4;HE;184;;
Dr.;;Christmann;Anna;w;1983;wiss. Referentin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;11;BW;259;;
;;Chrupalla;Tino;m;1975;selbst. Malermeister;AfD;Alternative für Deutschland;E;SN;157;Görlitz;32,4;;SN;;5;
;;Connemann;Gitta;w;1964;MdB / Rechtsanwältin;CDU;Christlich Demokratische Union Deutschlands;E;NI;25;Unterems;50;;NI;;7;X
;;Cotar;Joana Eleonora;w;1973;selbständig;AfD;Alternative für Deutschland;Z;HE;;;;2;;;;
;;Cronenberg;Carl-Julius;m;1962;Unternehmer;FDP;Freie Demokratische Partei;Z;NW;;;;14;NW;147;;
Dr.;;Curio;Gottfried;m;1960;MdAB;AfD;Alternative für Deutschland;Z;BE;;;;2;;;;
;;Dağdelen;Sevim;w;1975;Journalistin;DIE LINKE;DIE LINKE;Z;NW;;;;3;NW;140;;X
;;Daldrup;Bernhard;m;1956;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;7;NW;130;;X
;;Damerow;Astrid;w;1958;geschäftsf. Gesellschafterin Coaching und Beratung;CDU;Christlich Demokratische Union Deutschlands;E;SH;2;Nordfriesland – Dithmarschen Nord;45,1;;SH;;5;
;;Dassler;Britta Katharina;w;1964;Unternehmerin;FDP;Freie Demokratische Partei;Z;BY;;;;9;BY;242;;
Dr.;;Dehm-Desoi;Jörg-Diether Wilhelm;m;1950;Liederautor / Medienunternehmer;DIE LINKE;DIE LINKE;Z;NI;;;;2;NI;43;;X
;;Deligöz;Ekin;w;1971;MdB / Dipl.-Verwaltungswissenschaftlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;3;BY;255;;X
Dr.;;Diaby;Karamba;m;1961;MdB / Dipl.-Chemiker;SPD;Sozialdemokratische Partei Deutschlands;Z;ST;;;;3;ST;72;;X
;;Dilcher;Esther;w;1965;Rechtsanwältin / Notarin;SPD;Sozialdemokratische Partei Deutschlands;E;HE;167;Waldeck;35,1;;HE;;16;
;;Dittmar;Sabine;w;1964;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;10;BY;248;;X
;;Djir-Sarai;Bijan;m;1976;hauptamtl. Dezernent;FDP;Freie Demokratische Partei;Z;NW;;;;6;NW;108;;
;;Dobrindt;Alexander;m;1970;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;226;Weilheim;47,9;;BY;;2;X
;;Domscheit-Berg;Anke;w;1968;Publizistin;DIE LINKE;DIE LINKE;Z;BB;;;;3;BB;60;;
;;Donth;Michael;m;1967;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;289;Reutlingen;40,8;;;;;X
;;Dörner;Katja;w;1976;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;3;NW;96;;X
;;Dött;Marie-Luise;w;1953;Kauffrau im Einzelhandel;CDU;Christlich Demokratische Union Deutschlands;Z;NW;;;;8;NW;117;;X
;;Droese;Siegbert;m;1969;Hotelkaufmann;AfD;Alternative für Deutschland;Z;SN;;;;3;SN;153;;
;;Dröge;Katharina;w;1984;Dipl.-Volkswirtin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;7;NW;95;;X
;;Dürr;Christian;m;1977;MdL / Dipl.-Ökonom;FDP;Freie Demokratische Partei;Z;NI;;;;1;NI;28;;
;;Durz;Hansjörg;m;1971;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;253;Augsburg-Land;47,8;;BY;;39;X
;;Ebbing;Hartmut Heinrich Wilhelm;m;1956;Wirtschaftsprüfer / Steuerberater;FDP;Freie Demokratische Partei;Z;BE;;;;3;BE;79;;
;;Ebner;Harald;m;1964;MdB / Dipl.-Agraringenieur;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;8;BW;268;;X
;;Ehrhorn;Thomas;m;1959;Pilot;AfD;Alternative für Deutschland;Z;NI;;;;3;NI;44;;
;;Elsner von Gronow;Gerhard Helmuth Berengar;m;1978;Vertriebsleiter;AfD;Alternative für Deutschland;Z;NW;;;;15;NW;146;;
;;Erndl;Thomas;m;1974;Dipl.-Ing. Elektrotechnik (FH);CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;227;Deggendorf;44,1;;;;;
;;Ernst;Klaus Friedrich;m;1954;MdB / Gewerkschaftssekretär;DIE LINKE;DIE LINKE;Z;BY;;;;1;BY;250;;X
;;Esdar;Wiebke;w;1984;wiss. Mitarbeiterin;SPD;Sozialdemokratische Partei Deutschlands;E;NW;132;Bielefeld – Gütersloh II;33,2;;NW;;36;
;;Esken;Saskia;w;1961;MdB / Informatikerin;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;15;BW;280;;X
Dr.;;Espendiller;Michael;m;1989;prom. Mathematiker;AfD;Alternative für Deutschland;Z;NW;;;;10;NW;128;;
Dr.;;Faber;Marcus;m;1984;Angestellter;FDP;Freie Demokratische Partei;Z;ST;;;;2;ST;66;;
;;Fahimi;Yasmin;w;1967;Staatssekretärin / Dipl.-Chemikerin;SPD;Sozialdemokratische Partei Deutschlands;E;NI;42;Stadt Hannover II;33,7;;NI;;24;
;;Färber;Hermann;m;1963;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;263;Göppingen;37,6;;;;;X
Dr.;;Fechner;Johannes;m;1972;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;10;BW;283;;X
;;Feiler;Uwe Wolfgang Werner;m;1965;Dipl.-Finanzwirt;CDU;Christlich Demokratische Union Deutschlands;E;BB;58;Oberhavel – Havelland II;29,9;;BB;;5;X
Dr.;;Felgentreu;Fritz;m;1968;MdB / klassischer Philologe / Lehrer;SPD;Sozialdemokratische Partei Deutschlands;E;BE;82;Berlin-Neukölln;26,8;;;;;X
;;Felser;Peter;m;1969;Unternehmer;AfD;Alternative für Deutschland;Z;BY;;;;7;BY;256;;
;;Ferlemann;Enak;m;1963;parl. Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;E;NI;29;Cuxhaven – Stade II;42,7;;NI;;3;X
;;Ferschl;Susanne;w;1973;Betriebsratsvorsitzende;DIE LINKE;DIE LINKE;Z;BY;;;;3;BY;257;;
;;Fischer;Axel;m;1966;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;272;Karlsruhe-Land;40,4;;;;;X
Dr.;;Flachsbarth;Maria Franziska;w;1963;MdB / Tierärztin;CDU;Christlich Demokratische Union Deutschlands;Z;NI;;;;4;NI;47;;X
;;Föst;Daniel;m;1976;selbständig;FDP;Freie Demokratische Partei;Z;BY;;;;1;BY;217;;
Dr.;;Franke;Edgar Konrad Hartmut;m;1960;MdB;SPD;Sozialdemokratische Partei Deutschlands;E;HE;170;Schwalm-Eder;37,7;;HE;;11;X
;;Freese;Ulrich Ronald;m;1951;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BB;;;;2;BB;64;;X
;;Frei;Thorsten;m;1973;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;286;Schwarzwald-Baar;47;;;;;X
;;Freihold;Brigitte;w;1955;Lehrerin;DIE LINKE;DIE LINKE;Z;RP;;;;3;RP;210;;
;;Freitag;Dagmar;w;1953;Lehrerin a. D.;SPD;Sozialdemokratische Partei Deutschlands;E;NW;150;Märkischer Kreis II;38,6;;NW;;6;X
;;Fricke;Otto;m;1965;Rechtsanwalt;FDP;Freie Demokratische Partei;Z;NW;;;;7;NW;110;;
;;Friedhoff;Dietmar;m;1966;Dipl.-Ingenieur / Vertriebstrainer;AfD;Alternative für Deutschland;Z;NI;;;;5;NI;43;;
Dr.;;Friedrich;Hans-Peter;m;1957;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;239;Hof;47;;BY;;8;X
Dr.;;Friesen;Anton;m;1985;wiss. Mitarbeiter;AfD;Alternative für Deutschland;Z;TH;;;;5;;;;
;;Frieser;Michael;m;1964;MdB / Rechtsanwalt;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;245;Nürnberg-Süd;35,6;;BY;;21;X
;;Frohnmaier;Markus;m;1991;Pressesprecher;AfD;Alternative für Deutschland;Z;BW;;;;4;BW;260;;
Dr.;;Frömming;Götz;m;1968;Studiendirektor;AfD;Alternative für Deutschland;Z;BE;;;;3;;;;
;;Fuchtel;Hans-Joachim;m;1952;MdB / parl. Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;E;BW;280;Calw;43,3;;;;;X
;;Gabelmann;Sylvia;w;1958;Apothekerin;DIE LINKE;DIE LINKE;Z;NW;;;;9;NW;148;;
;;Gabriel;Sigmar Hartmut;m;1959;MdB / Bundesminister;SPD;Sozialdemokratische Partei Deutschlands;E;NI;49;Salzgitter – Wolfenbüttel;42,8;;NI;;25;X
;;Gädechens;Ingo;m;1960;Berufssoldat;CDU;Christlich Demokratische Union Deutschlands;E;SH;9;Ostholstein – Stormarn-Nord;41,5;;SH;;3;X
;;Gastel;Matthias;m;1970;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;10;BW;262;;X
Dr.;;Gauland;Eberhardt Alexander;m;1941;MdL;AfD;Alternative für Deutschland;Z;BB;;;;1;BB;63;;
Dr.;;Gebhart;Thomas;m;1971;MdB;CDU;Christlich Demokratische Union Deutschlands;E;RP;211;Südpfalz;40,3;;RP;;4;X
;;Gehring;Kai Boris;m;1977;Dipl.-Sozialwissenschaftler;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;10;NW;120;;X
Dr.;;Gehrke;Axel;m;1942;Arzt;AfD;Alternative für Deutschland;Z;SH;;;;2;SH;9;;
;;Gelbhaar;Stefan;m;1976;MdAB / Rechtsanwalt;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BE;;;;2;BE;76;;
;;Gerdes;Michael;m;1960;MdB / Elektrohauer;SPD;Sozialdemokratische Partei Deutschlands;E;NW;125;Bottrop – Recklinghausen III;36,8;;NW;;64;X
;;Gerig;Alois;m;1956;MdB / Landwirtschaftsmeister;CDU;Christlich Demokratische Union Deutschlands;E;BW;276;Odenwald – Tauber;46,8;;;;;X
;;Gerster;Martin;m;1971;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;8;BW;292;;X
;;Gienger;Eberhard;m;1951;MdB / Kaufmann;CDU;Christlich Demokratische Union Deutschlands;E;BW;266;Neckar-Zaber;40;;;;;X
;;Glaser;Albrecht Heinz Erhard;m;1942;Stadtkämmerer a. D.;AfD;Alternative für Deutschland;Z;HE;;;;5;HE;170;;
;;Glöckner;Angelika;w;1962;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;9;RP;210;;X
;;Gminder;Franziska;w;1945;Dipl.-Kauffrau;AfD;Alternative für Deutschland;Z;BW;;;;11;;;;
;;Gnodtke;Eckhard;m;1958;Sozialdezernent / Volljurist;CDU;Christlich Demokratische Union Deutschlands;E;ST;66;Altmark;32,6;;ST;;9;
;;Gohlke;Nicole Stephanie;w;1975;MdB / Kommunikationswissenschaftlerin;DIE LINKE;DIE LINKE;Z;BY;;;;2;BY;219;;X
;;Göring-Eckardt;Katrin;w;1966;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;TH;;;;1;TH;193;;X
;von;Gottberg;Wilhelm;m;1940;Beamter i. R.;AfD;Alternative für Deutschland;Z;NI;;;;4;;;;
;;Gottschalk;Kay;m;1965;Angestellter;AfD;Alternative für Deutschland;Z;NW;;;;4;NW;111;;
;;Gremmels;Timon;m;1976;MdL;SPD;Sozialdemokratische Partei Deutschlands;E;HE;168;Kassel;35,6;;HE;;21;
;;Griese;Kerstin;w;1966;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;4;NW;105;;X
;;Groden-Kranich;Ursula;w;1965;MdB / Bankkauffrau;CDU;Christlich Demokratische Union Deutschlands;E;RP;205;Mainz;35,7;;RP;;11;X
;;Gröhe;Hermann;m;1961;MdB / Bundesminister / Jurist;CDU;Christlich Demokratische Union Deutschlands;E;NW;108;Neuss I;44;;NW;;1;X
;;Gröhler;Klaus-Dieter;m;1966;MdB / Jurist;CDU;Christlich Demokratische Union Deutschlands;E;BE;80;Berlin-Charlottenburg-Wilmersdorf;30,2;;;;;X
;;Groß;Michael Peter;m;1956;Geschäftsbereichsleiter;SPD;Sozialdemokratische Partei Deutschlands;E;NW;122;Recklinghausen II;41,1;;NW;;39;X
;;Grosse-Brömer;Michael;m;1960;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NI;36;Harburg;40,6;;NI;;2;X
