Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Beruf;Partei_KurzBez;Partei_Bez;Gewählt_Stimmenart;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Gewählt_Erststimmenanteil;Gewählt_Liste_Platz;Kandidierte-auch_Land;Kandidierte-auch_Wahlkreis_Nr;Kandidierte-auch_Liste_Platz;Wiedergewählt
;;Grotelüschen;Astrid Katharina Josefine;w;1964;MdB / Dipl.-Ökotrophologin;CDU;Christlich Demokratische Union Deutschlands;E;NI;28;Delmenhorst – Wesermarsch – Oldenburg-Land;34,1;;NI;;10;X
;;Grötsch;Uli;m;1975;MdB / Polizeibeamter;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;11;BY;235;;X
;;Grübel;Markus;m;1959;MdB / parl. Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;E;BW;261;Esslingen;40;;;;;X
;;Grund;Manfred;m;1955;Dipl.-Elektroingenieur;CDU;Christlich Demokratische Union Deutschlands;E;TH;189;Eichsfeld – Nordhausen – Kyffhäuserkreis;38;;TH;;1;X
;;Grundl;Erhard;m;1963;Vertriebsmanager;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;8;BY;231;;
;;Grundmann;Oliver Klaus;m;1971;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NI;30;Stade I – Rotenburg II;44,4;;NI;;21;X
;;Grütters;Monika;w;1962;Staatsministerin für Kultur und Medien;CDU;Christlich Demokratische Union Deutschlands;Z;BE;;;;1;BE;85;;X
;;Güntzler;Fritz;m;1966;MdB;CDU;Christlich Demokratische Union Deutschlands;Z;NI;;;;9;NI;53;;X
;;Gutting;Olav;m;1970;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;BW;278;Bruchsal – Schwetzingen;41,5;;;;;X
Dr.;;Gysi;Gregor;m;1948;Rechtsanwalt;DIE LINKE;DIE LINKE;E;BE;84;Berlin-Treptow-Köpenick;39,9;;;;;X
;;Haase;Christian;m;1966;Dipl.-Verwaltungswirt;CDU;Christlich Demokratische Union Deutschlands;E;NW;136;Höxter – Lippe II;44,3;;;;;X
;;Hacker;Thomas;m;1967;Dipl.-Kaufmann;FDP;Freie Demokratische Partei;Z;BY;;;;10;BY;237;;
;;Hagedorn;Bettina;w;1955;MdB / Goldschmiedin;SPD;Sozialdemokratische Partei Deutschlands;Z;SH;;;;1;SH;9;;X
;;Hagl-Kehl;Rita;w;1970;MdB / Studienrätin;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;16;BY;227;;X
Dr.;;Hahn;André;m;1963;MdB;DIE LINKE;DIE LINKE;Z;SN;;;;2;SN;158;;X
;;Hahn;Florian Peter;m;1974;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;221;München-Land;43,5;;BY;;37;X
;;Hajduk;Anja Margarete Helene;w;1963;Dipl.-Psychologin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;HH;;;;1;HH;21;;X
;;Hakverdi;Metin;m;1969;Volljurist;SPD;Sozialdemokratische Partei Deutschlands;E;HH;23;Hamburg-Bergedorf – Harburg;34,8;;HH;;8;X
;;Hampel;Armin-Paulus;m;1957;Journalist;AfD;Alternative für Deutschland;Z;NI;;;;1;NI;46;;
;;Hänsel;Heike;w;1966;MdB;DIE LINKE;DIE LINKE;Z;BW;;;;2;BW;290;;X
Dr.;;Harbarth;Stephan;m;1971;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;BW;277;Rhein-Neckar;37,4;;;;;X
;;Harder-Kühnel;Mariana Iris;w;1974;Rechtsanwältin;AfD;Alternative für Deutschland;Z;HE;;;;1;HE;175;;
;;Hardt;Jürgen;m;1963;MdB / Dipl.-Volkswirt;CDU;Christlich Demokratische Union Deutschlands;E;NW;103;Solingen – Remscheid – Wuppertal II;38,2;;NW;;22;X
;;Hartmann;Sebastian;m;1977;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;15;NW;97;;X
;;Hartmann;Verena;w;1974;Dipl.-Kommunikationswirtin;AfD;Alternative für Deutschland;Z;SN;;;;9;;;;
Dr.;;Hartwig;Roland;m;1954;Rechtsanwalt;AfD;Alternative für Deutschland;Z;NW;;;;14;NW;100;;
;;Haßelmann;Britta;w;1961;Dipl.-Sozialarbeiterin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;1;NW;132;;X
;;Hauer;Matthias;m;1977;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NW;120;Essen III;37,1;;NW;;13;X
;;Haug;Jochen;m;1973;Rechtsanwalt;AfD;Alternative für Deutschland;Z;NW;;;;2;NW;94;;
;;Hauptmann;Mark;m;1984;MdB / Politikwissenschaftler;CDU;Christlich Demokratische Union Deutschlands;E;TH;196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;33,5;;;;;X
;;Hebner;Martin;m;1959;IT-Unternehmensberater;AfD;Alternative für Deutschland;Z;BY;;;;1;BY;224;;
;;Heidenblut;Dirk;m;1961;Geschäftsführer;SPD;Sozialdemokratische Partei Deutschlands;E;NW;119;Essen II;37,3;;NW;;57;X
Dr.;;Heider;Matthias;m;1966;Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NW;149;Olpe – Märkischer Kreis I;47,9;;NW;;45;X
;;Heil;Hubertus;m;1972;MdB / Politikwissenschaftler;SPD;Sozialdemokratische Partei Deutschlands;E;NI;45;Gifhorn – Peine;37,8;;NI;;5;X
;;Heil;Mechthild;w;1961;MdB / Dipl.-Ing. Architektur;CDU;Christlich Demokratische Union Deutschlands;E;RP;198;Ahrweiler;42,8;;RP;;5;X
;;Heilmann;Thomas;m;1964;Volljurist;CDU;Christlich Demokratische Union Deutschlands;E;BE;79;Berlin-Steglitz-Zehlendorf;35,4;;BE;;4;
;;Heinrich;Frank;m;1964;Theologe;CDU;Christlich Demokratische Union Deutschlands;E;SN;162;Chemnitz;26,6;;SN;;9;X
;;Heinrich;Gabriela;w;1963;MdB / Redakteurin;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;18;BY;244;;X
;;Held;Marcus;m;1977;MdB / Volljurist;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;4;RP;206;;X
;;Helfrich;Mark;m;1978;MdB / Betriebswirt;CDU;Christlich Demokratische Union Deutschlands;E;SH;3;Steinburg – Dithmarschen Süd;41,9;;SH;;7;X
;;Helling-Plahr;Katrin;w;1986;Rechtsanwältin;FDP;Freie Demokratische Partei;Z;NW;;;;17;NW;138;;
;;Hellmich;Wolfgang;m;1958;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;3;NW;146;;X
;;Hemmelgarn;Udo Theodor;m;1959;selbst. Kaufmann;AfD;Alternative für Deutschland;Z;NW;;;;8;NW;131;;
Dr.;;Hendricks;Barbara;w;1952;Bundesministerin;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;2;NW;112;;X
;;Henke;Rudolf;m;1954;MdB / Arzt;CDU;Christlich Demokratische Union Deutschlands;E;NW;87;Aachen I;33,7;;NW;;30;X
;;Hennrich;Michael;m;1965;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;262;Nürtingen;39,4;;;;;X
;;Henrichmann;Marc;m;1976;Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NW;127;Coesfeld – Steinfurt II;51,6;;;;;
;;Herbrand;Markus;m;1971;Steuerberater;FDP;Freie Demokratische Partei;Z;NW;;;;11;NW;92;;
;;Herbst;Torsten;m;1973;Dipl.-Kaufmann (FH);FDP;Freie Demokratische Partei;Z;SN;;;;1;SN;156;;
;;Herdt;Waldemar;m;1962;Unternehmer;AfD;Alternative für Deutschland;Z;NI;;;;7;NI;38;;
;;Herrmann;Klaus Lars;m;1977;Polizeibeamter;AfD;Alternative für Deutschland;Z;SN;;;;10;SN;154;;
;;Herzog;Gustav;m;1958;MdB / Chemielaborant;SPD;Sozialdemokratische Partei Deutschlands;E;RP;209;Kaiserslautern;33,9;;RP;;2;X
;;Hess;Martin Alexander;m;1971;Polizeibeamter;AfD;Alternative für Deutschland;Z;BW;;;;7;BW;265;;
;;Hessel;Katja;w;1972;Rechtsanwältin;FDP;Freie Demokratische Partei;Z;BY;;;;3;BY;244;;
Prof. Dr.;;Heßenkemper;Heiko;m;1956;Physiker;AfD;Alternative für Deutschland;Z;SN;;;;6;SN;161;;
;;Heveling;Ansgar;m;1972;MdB / Oberregierungsrat a. D.;CDU;Christlich Demokratische Union Deutschlands;E;NW;110;Krefeld I – Neuss II;42,4;;;;;X
;;Hiller-Ohm;Gabriele;w;1953;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;SH;;;;5;SH;11;;X
;;Hilse;Karsten;m;1964;Beamter;AfD;Alternative für Deutschland;E;SN;156;Bautzen I;33,2;;SN;;8;
;;Hirte;Christian;m;1976;Rechtsanwalt / Fachanwalt für Steuerrecht;CDU;Christlich Demokratische Union Deutschlands;E;TH;190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;34,4;;TH;;4;X
Prof. Dr.;;Hirte;Heribert;m;1958;Universitätsprofessor;CDU;Christlich Demokratische Union Deutschlands;E;NW;94;Köln II;34,9;;NW;;54;X
;;Hitschler;Thomas;m;1982;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;6;RP;211;;X
;;Höchst;Nicole;w;1970;Regierungsschuldirektorin;AfD;Alternative für Deutschland;Z;RP;;;;4;RP;201;;
Dr.;;Hocker;Gero Clemens;m;1975;MdL / Dipl.-Ökonom;FDP;Freie Demokratische Partei;Z;NI;;;;4;NI;34;;
;;Höferlin;Manuel;m;1973;selbst. Unternehmer;FDP;Freie Demokratische Partei;Z;RP;;;;1;RP;206;;
;;Hoffmann;Alexander;m;1975;MdB / Oberrechtsrat;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;249;Main-Spessart;46,6;;;;;X
Dr.;;Hoffmann;Bettina;w;1960;Dipl.-Biologin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;HE;;;;5;HE;170;;
Dr.;;Hoffmann;Christoph;m;1957;Bürgermeister;FDP;Freie Demokratische Partei;Z;BW;;;;10;BW;282;;
Dr.;;Hofreiter;Anton;m;1970;MdB / Dipl.-Biologe;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;2;BY;221;;X
Dr.;;Högl;Eva;w;1969;MdB / Juristin;SPD;Sozialdemokratische Partei Deutschlands;E;BE;75;Berlin-Mitte;23,5;;BE;;1;X
;;Hohmann;Martin;m;1948;Bürgermeister a. D.;AfD;Alternative für Deutschland;Z;HE;;;;6;HE;174;;
;;Höhn;Matthias;m;1975;MdL;DIE LINKE;DIE LINKE;Z;ST;;;;4;ST;66;;
Dr.;;Hollnagel;Bruno;m;1948;Wirtschaftswissenschaftler;AfD;Alternative für Deutschland;Z;SH;;;;1;SH;10;;
;;Holm;Leif-Erik;m;1970;Ökonom (M. Sc.) / Journalist;AfD;Alternative für Deutschland;Z;MV;;;;1;MV;15;;
;;Holmeier;Karl;m;1956;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;234;Schwandorf;48,5;;;;;X
;von;Holtz;Ottmar;m;1961;MdL / Dipl.-Ökonom;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NI;;;;6;NI;48;;
Dr.;;Hoppenstedt;Hendrik;m;1972;MdB / Bürgermeister a. D.;CDU;Christlich Demokratische Union Deutschlands;E;NI;43;Hannover-Land I;40,1;;NI;;12;X
;;Houben;Reinhard;m;1960;Unternehmer;FDP;Freie Demokratische Partei;Z;NW;;;;8;NW;93;;
;;Huber;Johannes;m;1987;Finanzbuchhalter;AfD;Alternative für Deutschland;Z;BY;;;;13;BY;214;;
;;Hunko;Andrej;m;1963;Mediengestalter;DIE LINKE;DIE LINKE;Z;NW;;;;4;NW;87;;X
;;Ihnen;Ulla;w;1956;Staatssekretärin a. D. / Juristin;FDP;Freie Demokratische Partei;Z;NI;;;;5;NI;42;;
;;Irlstorfer;Erich;m;1970;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;214;Freising;43;;;;;X
;;Irmer;Hans-Jürgen;m;1952;Oberstudienrat;CDU;Christlich Demokratische Union Deutschlands;E;HE;172;Lahn-Dill;38,3;;HE;;17;
;;Jacobi;Fabian;m;1973;Rechtsanwalt;AfD;Alternative für Deutschland;Z;NW;;;;6;NW;93;;
;;Janecek;Dieter;m;1976;MdB / Dipl.-Politologe;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;6;BY;220;;X
;;Jarzombek;Thomas;m;1973;MdB / IT-Berater;CDU;Christlich Demokratische Union Deutschlands;E;NW;106;Düsseldorf I;40,4;;NW;;12;X
;;Jelpke;Ursula (Ulla);w;1951;Journalistin;DIE LINKE;DIE LINKE;Z;NW;;;;5;NW;142;;X
Dr.;;Jongen;Marc Stephan;m;1968;akadem. Mitarbeiter;AfD;Alternative für Deutschland;Z;BW;;;;3;BW;266;;
;;Jung;Andreas;m;1975;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;287;Konstanz;44,8;;;;;X
Dr.;;Jung;Christian;m;1977;Studiendirektor;FDP;Freie Demokratische Partei;Z;BW;;;;12;BW;272;;
;;Jung;Ingmar Ludwig;m;1978;Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;E;HE;179;Wiesbaden;34,3;;HE;;16;
;;Junge;Frank Michael;m;1967;Dipl.-Sportlehrer;SPD;Sozialdemokratische Partei Deutschlands;Z;MV;;;;2;MV;13;;X
;;Juratovic;Josip;m;1959;MdB / Kfz.-Mechaniker;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;16;BW;267;;X
;;Jurk;Thomas Edmund;m;1962;MdB / Funkmechaniker;SPD;Sozialdemokratische Partei Deutschlands;Z;SN;;;;2;SN;157;;X
;;Kaczmarek;Oliver;m;1970;Oberregierungsrat;SPD;Sozialdemokratische Partei Deutschlands;E;NW;144;Unna I;38,8;;NW;;50;X
;;Kahrs;Johannes;m;1963;Angestellter;SPD;Sozialdemokratische Partei Deutschlands;E;HH;18;Hamburg-Mitte;30,9;;HH;;2;X
;;Kaiser;Elisabeth;w;1987;Pressesprecherin;SPD;Sozialdemokratische Partei Deutschlands;Z;TH;;;;2;TH;194;;
;;Kamann;Uwe;m;1958;Elektroniker / Kaufmann;AfD;Alternative für Deutschland;Z;NW;;;;9;NW;117;;
Dr.;;Kappert-Gonther;Kirsten;w;1966;Ärztin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;HB;;;;1;HB;54;;
;;Kapschack;Ralf;m;1954;Journalist;SPD;Sozialdemokratische Partei Deutschlands;E;NW;139;Ennepe-Ruhr-Kreis II;36,7;;NW;;41;X
;;Karl;Alois;m;1950;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;232;Amberg;47,7;;;;;X
;;Karliczek;Anja;w;1971;MdB / Geschäftsführerin Hotellerie;CDU;Christlich Demokratische Union Deutschlands;E;NW;128;Steinfurt III;44,8;;NW;;11;X
;;Kartes;Jens Torbjörn;m;1979;Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;RP;207;Ludwigshafen/Frankenthal;32,1;;RP;;15;
;;Kassner;Karin Kerstin;w;1958;Dipl.-Ökonomin;DIE LINKE;DIE LINKE;Z;MV;;;;3;MV;15;;X
;;Katzmarek;Gabriele;w;1960;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;11;BW;273;;X
;;Kauder;Volker;m;1949;MdB / Jurist;CDU;Christlich Demokratische Union Deutschlands;E;BW;285;Rottweil – Tuttlingen;43;;BW;;3;X
Dr.;;Kaufmann;Stefan;m;1969;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;BW;258;Stuttgart I;32;;BW;;7;X
;;Kekeritz;Uwe;m;1953;MdB / Dipl.-Volkswirt;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;4;BY;243;;X
;;Kelber;Ulrich;m;1968;MdB / Dipl.-Informatiker;SPD;Sozialdemokratische Partei Deutschlands;E;NW;96;Bonn;34,9;;;;;X
;;Kemmer;Ronja;w;1989;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;291;Ulm;42,7;;;;;X
;;Kemmerich;Thomas L.;m;1965;Unternehmer;FDP;Freie Demokratische Partei;Z;TH;;;;1;TH;193;;
Dr.;;Kessler;Achim Dieter;m;1964;Angestellter;DIE LINKE;DIE LINKE;Z;HE;;;;2;HE;182;;
;;Kestner;Jens;m;1971;Bestatter;AfD;Alternative für Deutschland;Z;NI;;;;6;NI;52;;
;;Keul;Katja;w;1969;MdB / Rechtsanwältin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NI;;;;5;NI;40;;X
;;Keuter;Stefan;m;1972;Bankkaufmann;AfD;Alternative für Deutschland;Z;NW;;;;11;NW;120;;
;;Kiesewetter;Roderich;m;1963;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;270;Aalen – Heidenheim;46,4;;;;;X
;;Kießling;Michael Hannes;m;1973;Erster Bürgermeister;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;224;Starnberg – Landsberg am Lech;42,1;;BY;;40;
;;Kindler;Sven-Christian;m;1985;MdB / Betriebswirt;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NI;;;;4;NI;42;;X
Dr.;;Kippels;Georg;m;1959;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NW;91;Rhein-Erft-Kreis I;39,2;;NW;;32;X
;;Kipping;Katja;w;1978;MdB / Literaturwissenschaftlerin;DIE LINKE;DIE LINKE;Z;SN;;;;1;SN;159;;X
;;Kiziltepe;Cansel;w;1975;MdB / Dipl.-Volkswirtin;SPD;Sozialdemokratische Partei Deutschlands;Z;BE;;;;3;BE;83;;X
;;Klare;Arno;m;1952;Lehrer;SPD;Sozialdemokratische Partei Deutschlands;E;NW;118;Mülheim – Essen I;34,9;;NW;;55;X
;;Klein;Karsten;m;1977;Dipl.-Kaufmann;FDP;Freie Demokratische Partei;Z;BY;;;;2;BY;247;;
;;Klein;Volkmar;m;1960;MdB / Dipl.-Volkswirt;CDU;Christlich Demokratische Union Deutschlands;E;NW;148;Siegen-Wittgenstein;40,1;;NW;;24;X
;;Klein-Schmeink;Maria;w;1958;Soziologin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;9;NW;129;;X
;;Kleinwächter;Norbert;m;1986;Lehrer;AfD;Alternative für Deutschland;Z;BB;;;;5;;;;
;;Klingbeil;Lars;m;1978;MdB;SPD;Sozialdemokratische Partei Deutschlands;E;NI;35;Rotenburg I – Heidekreis;41,2;;NI;;7;X
Dr.;;Klinge;Marcel;m;1980;Geschäftsführer Landtagsfraktion;FDP;Freie Demokratische Partei;Z;BW;;;;6;BW;286;;
;;Kloke;Katharina;w;1987;Rechtsreferendarin;FDP;Freie Demokratische Partei;Z;NW;;;;20;NW;90;;
;;Kluckert;Daniela;w;1980;Dipl.-Volkswirtin / Ministerialreferentin;FDP;Freie Demokratische Partei;Z;BE;;;;2;BE;76;;
;;Knoerig;Axel;m;1967;MdB;CDU;Christlich Demokratische Union Deutschlands;E;NI;33;Diepholz – Nienburg I;44,6;;NI;;27;X
;;Kober;Pascal;m;1971;Militärseelsorger;FDP;Freie Demokratische Partei;Z;BW;;;;4;BW;289;;
;;Koeppen;Jens;m;1962;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BB;57;Uckermark – Barnim I;30,6;;BB;;2;X
Dr.;;Kofler;Bärbel;w;1967;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;8;BY;225;;X
Dr.;;Köhler;Lukas;m;1986;wiss. Mitarbeiter;FDP;Freie Demokratische Partei;Z;BY;;;;6;BY;220;;
;;Kolbe;Daniela;w;1980;MdB / Dipl.-Physikerin;SPD;Sozialdemokratische Partei Deutschlands;Z;SN;;;;1;SN;152;;X
;;Komning;Enrico;m;1968;Rechtsanwalt;AfD;Alternative für Deutschland;Z;MV;;;;2;MV;16;;
;;König;Jörn;m;1967;Dipl.-Ingenieur (MBA);AfD;Alternative für Deutschland;Z;NI;;;;2;NI;41;;
;;Konrad;Carina;w;1982;Dipl.-Agraringenieurin (FH);FDP;Freie Demokratische Partei;Z;RP;;;;4;RP;200;;
;;Koob;Markus Benjamin;m;1977;MdB;CDU;Christlich Demokratische Union Deutschlands;E;HE;176;Hochtaunus;39,9;;HE;;15;X
;;Körber;Carsten;m;1979;MdB / Betriebswirt;CDU;Christlich Demokratische Union Deutschlands;E;SN;165;Zwickau;33,7;;SN;;5;X
;;Korkmaz;Elvan;w;1985;Dipl.-Verwaltungswirtin;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;16;NW;131;;
;;Korte;Jan;m;1977;MdB / Politikwissenschaftler (M. A.);DIE LINKE;DIE LINKE;Z;ST;;;;2;ST;71;;X
;;Kotré;Steffen;m;1971;Referent / Unternehmensberater;AfD;Alternative für Deutschland;Z;BB;;;;4;;;;
;;Kotting-Uhl;Sylvia;w;1952;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;3;BW;271;;X
Dr.;;Kraft;Rainer;m;1974;Dipl.-Chemiker;AfD;Alternative für Deutschland;Z;BY;;;;12;BY;253;;
;;Kramme;Anette;w;1967;MdB / parl. Staatssekretärin;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;2;BY;237;;X
;;Krauß;Alexander Gerd;m;1975;MdL / Politikwissenschaftler;CDU;Christlich Demokratische Union Deutschlands;E;SN;164;Erzgebirgskreis I;34,7;;;;;
;;Krellmann;Jutta;w;1956;Gewerkschaftssekretärin;DIE LINKE;DIE LINKE;Z;NI;;;;3;NI;46;;X
;;Krichbaum;Gunther;m;1964;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;279;Pforzheim;36,4;;;;;X
Dr.;;Krings;Günter;m;1969;MdB / Jurist;CDU;Christlich Demokratische Union Deutschlands;E;NW;109;Mönchengladbach;44,3;;NW;;5;X
;;Krischer;Oliver Michael;m;1969;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;2;NW;90;;X
;;Kruse;Rüdiger;m;1961;Geschäftsführer;CDU;Christlich Demokratische Union Deutschlands;Z;HH;;;;2;HH;20;;X
;;Kubicki;Wolfgang;m;1952;Rechtsanwalt / Dipl.-Volkswirt;FDP;Freie Demokratische Partei;Z;SH;;;;1;SH;3;;
;;Kuffer;Michael;m;1972;Rechtsanwalt;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;219;München-Süd;33;;BY;;24;
;;Kuhle;Konstantin Elias;m;1989;Rechtsanwalt;FDP;Freie Demokratische Partei;Z;NI;;;;6;NI;53;;
;;Kühn;Christian;m;1979;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;6;BW;290;;X
;;Kühn;Stephan;m;1979;MdB / Dipl.-Soziologe;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;SN;;;;2;SN;160;;X
Dr.;;Kühne;Roy;m;1967;MdB / Dipl.-Sporttherapeut / Physiotherapeut;CDU;Christlich Demokratische Union Deutschlands;E;NI;52;Goslar – Northeim – Osterode;39,8;;NI;;23;X
;;Kulitz;Alexander;m;1981;Unternehmer;FDP;Freie Demokratische Partei;Z;BW;;;;11;BW;291;;
;;Künast;Renate;w;1955;Rechtsanwältin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BE;;;;3;BE;81;;X
;;Kurth;Markus;m;1966;Dipl.-Politikwissenschaftler;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;8;NW;142;;X
;;Lambrecht;Christine;w;1965;Rechtsanwältin;SPD;Sozialdemokratische Partei Deutschlands;Z;HE;;;;2;HE;188;;X
;Graf;Lambsdorff;Alexander;m;1966;Diplomat;FDP;Freie Demokratische Partei;Z;NW;;;;3;NW;96;;
Prof. h. c. Dr.;;Lamers;Karl;m;1951;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;BW;274;Heidelberg;32,7;;BW;;8;X
;;Lämmel;Gottfried Andreas;m;1959;MdB;CDU;Christlich Demokratische Union Deutschlands;E;SN;159;Dresden I;24,6;;;;;X
;;Landgraf;Katharina;w;1954;MdB;CDU;Christlich Demokratische Union Deutschlands;E;SN;154;Leipzig-Land;34,1;;SN;;3;X
;;Lange;Christian;m;1964;MdB / parl. Staatssekretär;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;2;BW;269;;X
;;Lange;Ulrich;m;1969;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;254;Donau-Ries;47;;;;;X
Dr.;;Launert;Silke;w;1976;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;237;Bayreuth;46,5;;BY;;18;X
Prof. Dr.;;Lauterbach;Karl;m;1963;MdB;SPD;Sozialdemokratische Partei Deutschlands;E;NW;101;Leverkusen – Köln IV;38,7;;NW;;58;X
;;Lay;Caren Nicole;w;1972;Soziologin;DIE LINKE;DIE LINKE;Z;SN;;;;3;SN;156;;X
;;Lazar;Monika;w;1967;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;SN;;;;1;SN;153;;X
;;Lechte;Ulrich;m;1977;Betriebswirt (VWA);FDP;Freie Demokratische Partei;Z;BY;;;;8;BY;233;;
;;Lehmann;Jens;m;1967;Erzieher;CDU;Christlich Demokratische Union Deutschlands;E;SN;152;Leipzig I;27,5;;;;;
;;Lehmann;Sven;m;1979;Politikwissenschaftler / Personalentwickler ö. D.;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;4;NW;94;;
;;Lehrieder;Paul;m;1959;MdB / Rechtsanwalt;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;251;Würzburg;42,2;;BY;;36;X
;;Leidig;Sabine;w;1961;MdB;DIE LINKE;DIE LINKE;Z;HE;;;;1;HE;169;;X
Dr.;;Leikert;Katja;w;1975;MdB;CDU;Christlich Demokratische Union Deutschlands;E;HE;180;Hanau;35,3;;HE;;6;X
;;Lemke;Steffi;w;1968;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;ST;;;;1;ST;70;;X
;;Lenkert;Ralph;m;1967;MdB / Werkzeugmacher / Maschinenbautechniker;DIE LINKE;DIE LINKE;Z;TH;;;;2;TH;191;;X
Dr.;;Lenz;Andreas;m;1981;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;213;Erding – Ebersberg;48,2;;;;;X
;;Leutert;Michael Gerhard;m;1974;Dipl.-Soziologe;DIE LINKE;DIE LINKE;Z;SN;;;;4;SN;162;;X
